Order ID,Date,Product ID,Product Name,Product Category,Quantity,PPU,Amount,Customer ID,Region,City,Peak Hours
T001861,08-12-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,8,"1,20,000","9,60,000",Customer-037,Asia,Mumbai,09:00 AM – 11:00 AM
T000354,10-03-2025,PROD-007,USB-C Docking Station,Electronics,17,"2,50,000","42,50,000",Customer-104,Asia,Tokyo,06:00 PM – 09:00 PM
T001334,12-09-2025,PROD-007,USB-C Docking Station,Electronics,9,"2,50,000","22,50,000",Customer-137,Europe,London,06:00 PM – 09:00 PM
T000906,17-06-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,35,"1,20,000","42,00,000",Customer-038,Asia,Singapore,09:00 AM – 11:00 AM
T001290,08-09-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,29,"3,50,000","1,01,50,000",Customer-149,Asia,Delhi,06:00 PM – 09:00 PM
T001274,04-09-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,44,"25,000","11,00,000",Customer-015,Asia,Mumbai,09:00 AM – 11:00 AM
T000939,25-06-2025,PROD-004,Standing Desk Converter,Furniture,29,"5,00,000","1,45,00,000",Customer-120,Asia,Dubai,12:00 PM – 03:00 PM
T001732,17-11-2025,PROD-009,Adjustable Monitor Arm,Furniture,27,"1,80,000","48,60,000",Customer-068,Asia,Pune,12:00 PM – 03:00 PM
T000066,08-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,270,"3,50,000","9,45,00,000",Customer-126,Asia,Delhi,06:00 PM – 09:00 PM
T001324,11-09-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,39,"3,50,000","1,36,50,000",Customer-003,Asia,Delhi,06:00 PM – 09:00 PM
T000057,08-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,31,"1,80,000","55,80,000",Customer-041,Asia,Mumbai,12:00 PM – 03:00 PM
T001293,08-09-2025,PROD-003,27-inch 4K Monitor,Electronics,7,"12,00,000","84,00,000",Customer-112,Asia,Singapore,06:00 PM – 09:00 PM
T001119,30-07-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,30,"3,50,000","1,05,00,000",Customer-117,Asia,Kolkata,06:00 PM – 09:00 PM
T000585,17-04-2025,PROD-010,Webcam 1080p HD,Electronics,28,"2,00,000","56,00,000",Customer-124,Asia,Pune,06:00 PM – 09:00 PM
T000375,12-03-2025,PROD-004,Standing Desk Converter,Furniture,29,"5,00,000","1,45,00,000",Customer-104,Asia,Hyderabad,12:00 PM – 03:00 PM
T000276,26-02-2025,PROD-010,Webcam 1080p HD,Electronics,430,"2,00,000","8,60,00,000",Customer-067,Asia,Mumbai,06:00 PM – 09:00 PM
T000747,15-05-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,29,"25,000","7,25,000",Customer-128,Europe,London,09:00 AM – 11:00 AM
